time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
-0.119,0.09068,0.10257,0.084072,0.10627,0.080969
-0.118,0.10441,0.10101,0.076581,0.10845,0.083466
-0.117,0.096922,0.07604,0.070963,0.10408,0.080969
-0.116,0.071953,0.07448,0.072836,0.088788,0.078473
-0.115,0.09068,0.083843,0.084072,0.069124,0.075975
-0.114,0.093177,0.10101,0.087818,0.06694,0.085963
-0.113,0.064462,0.093207,0.082199,0.075678,0.093454
-0.112,0.06571,0.07448,0.10093,0.082233,0.08846
-0.111,0.094425,0.071359,0.11029,0.082233,0.085963
-0.11,0.12189,0.086965,0.10654,0.073494,0.078473
-0.109,0.13188,0.10101,0.091563,0.071309,0.090957
-0.108,0.11066,0.11193,0.074709,0.086603,0.11842
-0.107,0.10566,0.12286,0.072836,0.1019,0.11842
-0.106,0.10316,0.12754,0.080327,0.10408,0.10344
-0.105,0.10816,0.11974,0.10093,0.099712,0.083466
-0.104,0.11565,0.10569,0.10842,0.095342,0.073478
-0.103,0.12938,0.10725,0.12153,0.10408,0.095951
-0.102,0.11939,0.10257,0.10654,0.11064,0.10844
-0.101,0.1119,0.10569,0.08969,0.11501,0.10344
-0.1,0.12439,0.10569,0.1028,0.097527,0.090957
-0.099,0.13812,0.096328,0.11591,0.093157,0.093454
-0.098,0.14686,0.094768,0.11778,0.11282,0.11343
-0.097,0.16684,0.10725,0.10842,0.14559,0.11842
-0.096,0.16059,0.11506,0.10842,0.14341,0.10094
-0.095,0.1169,0.10881,0.10467,0.11282,0.098448
-0.094,0.085686,0.10413,0.11591,0.10408,0.10594
-0.093,0.091928,0.12286,0.13089,0.11064,0.10594
-0.092,0.11939,0.13378,0.14025,0.11719,0.11093
-0.091,0.14936,0.14003,0.13089,0.11719,0.11842
-0.09,0.16184,0.13534,0.11778,0.12375,0.12841
-0.089,0.1531,0.13846,0.12153,0.11064,0.12591
-0.088,0.17433,0.1369,0.15711,0.10845,0.12591
-0.087,0.19555,0.12598,0.15336,0.097527,0.13341
-0.086,0.18182,0.11974,0.1234,0.097527,0.1384
-0.085,0.16309,0.13066,0.10842,0.095342,0.1359
-0.084,0.16434,0.14003,0.12714,0.10627,0.12841
