cycle: 0, a: 0.015625, b: 7, c: 0, result: None
cycle: 1, a: 0.01564025, b: 7, c: 0.109375, result: None
cycle: 2, a: 0.01565557, b: 7, c: 0.21885681, result: None
cycle: 3, a: 0.01567089, b: 7, c: 0.32844585, result: None
cycle: 4, a: 0.01568627, b: 7, c: 0.43814212, result: None
cycle: 5, a: 0.01570165, b: 7, c: 0.54794603, result: 0.109375
cycle: 6, a: 0.01571708, b: 7, c: 0.65785759, result: 0.21885681
cycle: 7, a: 0.01573252, b: 7, c: 0.76787722, result: 0.32844585
cycle: 8, a: 0.01574802, b: 7, c: 0.87800490, result: 0.43814212
cycle: 9, a: 0.01576352, b: 7, c: 0.98824107, result: 0.54794603
cycle: 10, a: 0.01577907, b: 7, c: 1.09858572, result: 0.65785759
cycle: 11, a: 0.01579463, b: 7, c: 1.20903927, result: 0.76787722
cycle: 12, a: 0.01581025, b: 7, c: 1.31960171, result: 0.87800490
cycle: 13, a: 0.01582586, b: 7, c: 1.43027347, result: 0.98824107
cycle: 14, a: 0.01584154, b: 7, c: 1.54105454, result: 1.09858572
cycle: 15, a: 0.01585727, b: 7, c: 1.65194535, result: 1.20903927
cycle: 16, a: 0.01587301, b: 7, c: 1.76294630, result: 1.31960171
cycle: 17, a: 0.01588875, b: 7, c: 1.87405741, result: 1.43027347
cycle: 18, a: 0.01590454, b: 7, c: 1.98527866, result: 1.54105454
cycle: 19, a: 0.01592034, b: 7, c: 2.09661048, result: 1.65194535
cycle: 20, a: 0.01593619, b: 7, c: 2.20805287, result: 1.76294630
cycle: 21, a: 0.01595211, b: 7, c: 2.31960624, result: 1.87405741
cycle: 22, a: 0.01596802, b: 7, c: 2.43127101, result: 1.98527866
cycle: 23, a: 0.01598399, b: 7, c: 2.54304718, result: 2.09661048
cycle: 24, a: 0.01599997, b: 7, c: 2.65493518, result: 2.20805287
cycle: 25, a: 0.01601600, b: 7, c: 2.76693499, result: 2.31960624
cycle: 26, a: 0.01603204, b: 7, c: 2.87904703, result: 2.43127101
cycle: 27, a: 0.01604813, b: 7, c: 2.99127131, result: 2.54304718
cycle: 28, a: 0.01606422, b: 7, c: 3.10360825, result: 2.65493518
cycle: 29, a: 0.01608037, b: 7, c: 3.21605783, result: 2.76693499
cycle: 30, a: 0.01609653, b: 7, c: 3.32862049, result: 2.87904703
cycle: 31, a: 0.01611274, b: 7, c: 3.44129621, result: 2.99127131
cycle: 32, a: 0.01612901, b: 7, c: 3.55408543, result: 3.10360825
cycle: 33, a: 0.01614528, b: 7, c: 3.66698855, result: 3.21605783
cycle: 34, a: 0.01616156, b: 7, c: 3.78000557, result: 3.32862049
cycle: 35, a: 0.01617795, b: 7, c: 3.89313650, result: 3.44129621
cycle: 36, a: 0.01619428, b: 7, c: 4.00638216, result: 3.55408543
cycle: 37, a: 0.01621073, b: 7, c: 4.11974215, result: 3.66698855
cycle: 38, a: 0.01622712, b: 7, c: 4.23321729, result: 3.78000557
cycle: 39, a: 0.01624363, b: 7, c: 4.34680718, result: 3.89313650
cycle: 40, a: 0.01626014, b: 7, c: 4.46051263, result: 4.00638216
cycle: 41, a: 0.01627665, b: 7, c: 4.57433366, result: 4.11974215
cycle: 42, a: 0.01629322, b: 7, c: 4.68827027, result: 4.23321729
cycle: 43, a: 0.01630985, b: 7, c: 4.80232286, result: 4.34680718
cycle: 44, a: 0.01632648, b: 7, c: 4.91649186, result: 4.46051263
cycle: 45, a: 0.01634317, b: 7, c: 5.03077727, result: 4.57433366
cycle: 46, a: 0.01635986, b: 7, c: 5.14517951, result: 4.68827027
cycle: 47, a: 0.01637661, b: 7, c: 5.25969856, result: 4.80232286
cycle: 48, a: 0.01639342, b: 7, c: 5.37433487, result: 4.91649186
cycle: 49, a: 0.01641023, b: 7, c: 5.48908883, result: 5.03077727
cycle: 50, a: 0.01642709, b: 7, c: 5.60396045, result: 5.14517951
cycle: 51, a: 0.01644396, b: 7, c: 5.71895015, result: 5.25969856
cycle: 52, a: 0.01646089, b: 7, c: 5.83405792, result: 5.37433487
cycle: 53, a: 0.01647782, b: 7, c: 5.94928419, result: 5.48908883
cycle: 54, a: 0.01649481, b: 7, c: 6.06462895, result: 5.60396045
cycle: 55, a: 0.01651185, b: 7, c: 6.18009263, result: 5.71895015
cycle: 56, a: 0.01652890, b: 7, c: 6.29567563, result: 5.83405792
cycle: 57, a: 0.01654601, b: 7, c: 6.41137796, result: 5.94928419
cycle: 58, a: 0.01656311, b: 7, c: 6.52720004, result: 6.06462895
cycle: 59, a: 0.01658028, b: 7, c: 6.64314186, result: 6.18009263
cycle: 60, a: 0.01659750, b: 7, c: 6.75920385, result: 6.29567563
cycle: 61, a: 0.01661473, b: 7, c: 6.87538641, result: 6.41137796
cycle: 62, a: 0.01663196, b: 7, c: 6.99168956, result: 6.52720004
cycle: 63, a: 0.01664930, b: 7, c: 7.10811328, result: 6.64314186
cycle: 64, a: 0.01666665, b: 7, c: 7.22465842, result: 6.75920385
cycle: 65, a: 0.01668399, b: 7, c: 7.34132498, result: 6.87538641
cycle: 66, a: 0.01670145, b: 7, c: 7.45811295, result: 6.99168956
cycle: 67, a: 0.01671886, b: 7, c: 7.57502317, result: 7.10811328
cycle: 68, a: 0.01673638, b: 7, c: 7.69205522, result: 7.22465842
cycle: 69, a: 0.01675391, b: 7, c: 7.80920994, result: 7.34132498
cycle: 70, a: 0.01677143, b: 7, c: 7.92648732, result: 7.45811295
cycle: 71, a: 0.01678907, b: 7, c: 8.04388737, result: 7.57502317
cycle: 72, a: 0.01680672, b: 7, c: 8.16141092, result: 7.69205522
cycle: 73, a: 0.01682436, b: 7, c: 8.27905797, result: 7.80920994
cycle: 74, a: 0.01684206, b: 7, c: 8.39682853, result: 7.92648732
cycle: 75, a: 0.01685982, b: 7, c: 8.51472300, result: 8.04388737
cycle: 76, a: 0.01687759, b: 7, c: 8.63274180, result: 8.16141092
cycle: 77, a: 0.01689541, b: 7, c: 8.75088495, result: 8.27905797
cycle: 78, a: 0.01691329, b: 7, c: 8.86915284, result: 8.39682853
cycle: 79, a: 0.01693117, b: 7, c: 8.98754590, result: 8.51472300
cycle: 80, a: 0.01694911, b: 7, c: 9.10606414, result: 8.63274180
cycle: 81, a: 0.01696711, b: 7, c: 9.22470796, result: 8.75088495
cycle: 82, a: 0.01698511, b: 7, c: 9.34347778, result: 8.86915284
cycle: 83, a: 0.01700317, b: 7, c: 9.46237361, result: 8.98754590
cycle: 84, a: 0.01702123, b: 7, c: 9.58139586, result: 9.10606414
cycle: 85, a: 0.01703935, b: 7, c: 9.70054453, result: 9.22470796
cycle: 86, a: 0.01705753, b: 7, c: 9.81982004, result: 9.34347778
cycle: 87, a: 0.01707571, b: 7, c: 9.93922281, result: 9.46237361
cycle: 88, a: 0.01709401, b: 7, c: 10.05875283, result: 9.58139586
cycle: 89, a: 0.01711225, b: 7, c: 10.17841094, result: 9.70054453
cycle: 90, a: 0.01713061, b: 7, c: 10.29819673, result: 9.81982004
cycle: 91, a: 0.01714897, b: 7, c: 10.41811102, result: 9.93922281
cycle: 92, a: 0.01716732, b: 7, c: 10.53815382, result: 10.05875283
cycle: 93, a: 0.01718580, b: 7, c: 10.65832513, result: 10.17841094
cycle: 94, a: 0.01720428, b: 7, c: 10.77862578, result: 10.29819673
cycle: 95, a: 0.01722276, b: 7, c: 10.89905577, result: 10.41811102
cycle: 96, a: 0.01724135, b: 7, c: 11.01961511, result: 10.53815382
cycle: 97, a: 0.01725995, b: 7, c: 11.14030462, result: 10.65832513
cycle: 98, a: 0.01727861, b: 7, c: 11.26112431, result: 10.77862578
cycle: 99, a: 0.01729726, b: 7, c: 11.38207459, result: 10.89905577
cycle: 100, a: 0.01731598, b: 7, c: 11.50315546, result: 11.01961511
cycle: 101, a: 0.01733475, b: 7, c: 11.62436735, result: 11.14030462
cycle: 102, a: 0.01735353, b: 7, c: 11.74571067, result: 11.26112431
cycle: 103, a: 0.01737236, b: 7, c: 11.86718541, result: 11.38207459
